Location,Average_Cost,Online_Order,Table_Booking,Rating,Votes,Reviews_Count,Cuisines,Delivery_Time,Popularity
Jaipur,176.0,No,No,3.2,830,512.0,Seafood,25,Low
Goa,241.0,No,No,4.4,30,277.0,Street Food,46,Low
Jaipur,222.0,Yes,Yes,3.5,615,287.0,Street Food,42,Low
Nashik,142.0,No,No,3.4,35,573.0,Gujarati,55,High
Goa,499.0,No,Yes,4.6,723,305.0,North Indian,30,High
Bangalore,135.0,No,Yes,3.4,620,468.0,Chinese,36,High
Kochi,164.0,Yes,Yes,3.5,795,174.0,North Indian,43,High
Bhopal,169.0,Yes,No,,874,417.0,Continental,26,Low
Kochi,563.0,No,Yes,4.5,430,522.0,Continental,26,High
Chennai,166.0,No,Yes,2.9,122,311.0,Biryani,114,Low
Bhopal,412.0,No,Yes,4.3,436,463.0,Chinese,32,High
Kochi,210.0,Yes,No,3.5,606,145.0,North Indian,35,Low
Goa,574.0,No,No,4.4,782,462.0,Biryani,28,High
Delhi,,Yes,Yes,2.7,1522,546.0,Street Food,32,Low
Kochi,188.0,Yes,Yes,2.8,731,328.0,Continental,44,Low
Bhopal,222.0,No,No,3.5,185,569.0,Continental,20,Low
Mumbai,356.0,No,Yes,4.9,723,287.0,Continental,20,High
Goa,85.0,No,Yes,3.1,80,33.0,Gujarati,22,Low
Jaipur,575.0,No,Yes,4.6,1776,295.0,Gujarati,20,High
Goa,499.0,No,Yes,4.6,723,305.0,North Indian,30,High
Jaipur,427.0,No,No,4.3,510,317.0,Chinese,27,High
Surat,186.0,Yes,No,2.6,135,162.0,Fast Food,29,Low
Goa,,Yes,Yes,4.1,55,301.0,Seafood,35,Low
Goa,235.0,No,No,3.5,651,256.0,Rajasthani,34,Low
Chennai,477.0,Yes,No,4.9,493,249.0,South Indian,31,High
Kochi,600.0,Yes,Yes,4.4,604,249.0,Seafood,25,High
Indore,296.0,No,No,4.5,597,,North Indian,26,High
Indore,93.0,No,No,3.4,497,557.0,Gujarati,47,Low
Jaipur,147.0,No,No,3.8,43,270.0,Biryani,44,Low
Kochi,465.0,No,Yes,4.6,152,304.0,South Indian,30,High
Nashik,237.0,Yes,Yes,3.4,808,254.0,Fast Food,25,Low
Surat,83.0,No,Yes,3.0,129,444.0,Chinese,38,Low
Surat,581.0,No,No,4.3,560,,Fast Food,31,High
Kochi,87.0,No,No,4.1,112,349.0,Kerala,49,High
Ahmedabad,115.0,Yes,Yes,2.7,215,341.0,Fast Food,56,Low
Chennai,113.0,No,No,2.5,546,410.0,Rajasthani,39,Low
Nagpur,397.0,Yes,No,4.3,760,353.0,Biryani,21,High
Delhi,303.0,No,No,4.0,678,532.0,Biryani,37,High
Hyderabad,245.0,No,Yes,3.4,543,21.0,Seafood,59,Low
Jaipur,136.0,No,Yes,3.0,82,409.0,Chinese,46,Low
Bhopal,271.0,No,No,4.9,676,419.0,South Indian,30,High
Ahmedabad,362.0,No,Yes,4.6,460,176.0,Cafe,35,High
Surat,493.0,Yes,Yes,4.7,655,254.0,Biryani,21,High
Mumbai,369.0,No,Yes,4.4,580,461.0,Chinese,31,High
Nagpur,412.0,No,Yes,4.9,420,341.0,South Indian,31,High
Indore,104.0,No,Yes,2.9,319,350.0,Kerala,46,Low
Nashik,345.0,No,No,4.5,4517,347.0,Cafe,49,High
Indore,212.0,No,No,4.9,111,165.0,North Indian,53,Low
Pune,,Yes,No,2.9,139,86.0,Biryani,33,Low
Nashik,398.0,Yes,No,4.6,612,535.0,Street Food,31,High
Indore,227.0,Yes,Yes,3.4,471,514.0,Cafe,54,Low
Chennai,168.0,Yes,Yes,,397,217.0,South Indian,46,Low
Indore,356.0,Yes,Yes,4.3,882,162.0,Kerala,24,High
Bangalore,404.0,No,Yes,4.7,615,536.0,Chinese,22,High
Indore,229.0,No,Yes,3.3,143,337.0,Gujarati,31,Low
Delhi,443.0,Yes,No,4.7,593,,Cafe,32,High
Bhopal,287.0,Yes,No,4.4,261,426.0,Chinese,55,Low
Nagpur,6019.0,Yes,Yes,3.1,486,39.0,South Indian,51,Low
Bhopal,360.0,No,Yes,4.4,723,299.0,South Indian,29,High
Surat,112.0,No,Yes,4.5,58,217.0,South Indian,43,Low
Hyderabad,191.0,No,No,4.1,135,46.0,Gujarati,54,Low
Surat,107.0,Yes,No,3.1,101,498.0,Biryani,20,High
Mumbai,200.0,No,Yes,3.7,114,,Kerala,35,Low
Pune,125.0,Yes,No,3.2,287,161.0,Fast Food,46,Low
Hyderabad,192.0,No,No,3.7,43,446.0,Gujarati,21,Low
Pune,267.0,Yes,Yes,4.5,673,358.0,Cafe,27,High
Bhopal,210.0,No,No,3.3,526,96.0,Gujarati,58,Low
Chennai,238.0,Yes,No,3.4,301,579.0,Kerala,47,Low
Ahmedabad,98.0,Yes,No,4.3,141,119.0,Fast Food,27,Low
Bhopal,442.0,No,No,4.9,491,272.0,Cafe,25,High
Hyderabad,152.0,No,Yes,3.0,499,263.0,Seafood,40,Low
Jaipur,109.0,Yes,Yes,3.8,141,71.0,South Indian,35,High
Pune,,No,Yes,3.3,262,61.0,Fast Food,48,Low
Indore,581.0,Yes,No,4.8,694,128.0,Street Food,24,High
Goa,241.0,Yes,Yes,,758,595.0,Cafe,37,Low
Bhopal,179.0,No,No,3.3,259,480.0,Fast Food,32,Low
Delhi,81.0,No,Yes,2.8,840,405.0,Kerala,30,High
Kochi,216.0,No,No,2.8,626,387.0,South Indian,26,Low
Nashik,141.0,Yes,No,3.1,697,292.0,Street Food,34,Low
Ahmedabad,486.0,No,Yes,4.8,636,597.0,South Indian,21,High
Hyderabad,512.0,No,Yes,4.4,456,265.0,Street Food,35,High
Nashik,4645.0,Yes,No,3.1,220,443.0,North Indian,26,Low
Nashik,231.0,No,Yes,3.3,551,327.0,Fast Food,51,Low
Kochi,155.0,Yes,No,2.9,654,454.0,Street Food,32,Low
Hyderabad,401.0,No,No,4.4,664,101.0,Biryani,23,High
Kochi,232.0,No,No,4.5,129,281.0,Seafood,31,High
Delhi,345.0,Yes,Yes,4.4,579,,Kerala,44,High
Delhi,196.0,No,No,3.1,410,315.0,Fast Food,23,Low
Delhi,130.0,No,No,4.6,271,409.0,Fast Food,42,High
Delhi,81.0,No,Yes,2.8,840,405.0,Kerala,30,High
Indore,356.0,Yes,Yes,4.3,882,162.0,Kerala,24,High
Bhopal,94.0,Yes,Yes,2.7,787,262.0,South Indian,56,Low
Pune,370.0,Yes,Yes,4.9,453,191.0,North Indian,31,High
Nashik,181.0,No,No,3.5,384,413.0,Gujarati,37,Low
Jaipur,151.0,Yes,Yes,2.7,784,355.0,Street Food,56,Low
Jaipur,323.0,Yes,No,4.5,544,594.0,Seafood,29,High
Kochi,219.0,No,No,4.7,152,,Rajasthani,36,Low
Nagpur,380.0,Yes,Yes,4.7,543,577.0,Biryani,22,High
Ahmedabad,502.0,Yes,Yes,4.6,520,256.0,Seafood,33,High
Nagpur,105.0,No,No,4.9,72,235.0,South Indian,47,Low
Goa,226.0,No,No,3.1,829,255.0,Biryani,48,Low
Hyderabad,194.0,No,Yes,2.6,115,394.0,Kerala,24,Low
Kochi,214.0,No,Yes,3.0,176,476.0,Rajasthani,24,Low
Bhopal,123.0,Yes,Yes,3.3,576,115.0,Cafe,52,Low
Nashik,338.0,No,No,4.3,709,435.0,Continental,30,High
Surat,118.0,Yes,No,4.4,97,226.0,North Indian,29,Low
Pune,201.0,Yes,No,3.7,62,531.0,Seafood,40,Low
Goa,98.0,Yes,Yes,2.8,560,133.0,Street Food,57,Low
Surat,293.0,No,Yes,4.6,509,76.0,Biryani,28,High
Goa,426.0,Yes,Yes,4.3,842,358.0,Rajasthani,34,High
Kochi,127.0,No,No,2.7,828,508.0,Kerala,124,Low
Indore,249.0,No,Yes,3.0,783,456.0,Chinese,51,Low
Pune,137.0,Yes,Yes,2.5,183,239.0,Fast Food,37,Low
Mumbai,133.0,No,No,3.0,202,505.0,Rajasthani,26,Low
Kochi,361.0,No,Yes,4.9,644,206.0,Rajasthani,35,High
Bangalore,565.0,Yes,No,4.6,897,146.0,Seafood,33,High
Jaipur,289.0,Yes,No,4.8,711,215.0,Gujarati,103,High
Indore,134.0,No,Yes,3.5,343,380.0,Gujarati,49,Low
Nashik,338.0,No,No,4.3,709,435.0,Continental,30,High
Surat,102.0,Yes,Yes,4.8,98,279.0,Rajasthani,23,Low
Mumbai,326.0,No,No,4.9,455,62.0,Continental,33,High
Nagpur,177.0,Yes,No,3.0,667,239.0,Continental,22,Low
Kochi,164.0,Yes,Yes,3.5,795,174.0,North Indian,43,High
Goa,190.0,Yes,No,2.9,715,284.0,Chinese,43,Low
Goa,459.0,No,No,4.4,572,451.0,South Indian,34,High
Mumbai,326.0,No,No,4.9,455,62.0,Continental,33,High
Delhi,160.0,Yes,No,4.2,142,171.0,North Indian,48,Low
Bangalore,190.0,No,Yes,3.2,190,234.0,Kerala,43,Low
Nagpur,224.0,No,No,3.4,810,472.0,Street Food,47,Low
Nagpur,533.0,Yes,Yes,4.9,684,156.0,Seafood,27,High
Jaipur,575.0,No,Yes,4.6,1776,295.0,Gujarati,20,High
Bhopal,172.0,No,Yes,3.5,36,336.0,Biryani,37,High
Nagpur,204.0,Yes,No,3.5,184,103.0,North Indian,32,High
Delhi,236.0,No,Yes,2.8,221,197.0,Rajasthani,25,Low
Surat,554.0,No,Yes,5.0,671,567.0,Continental,30,High
Delhi,216.0,No,No,3.6,64,472.0,Seafood,55,Low
Ahmedabad,150.0,No,No,3.3,46,91.0,Kerala,50,Low
Nashik,171.0,No,No,3.3,634,155.0,North Indian,56,Low
Chennai,239.0,No,No,2.9,497,534.0,Gujarati,52,Low
Hyderabad,157.0,No,No,2.6,84,545.0,Cafe,27,Low
Delhi,270.0,No,Yes,4.3,753,432.0,North Indian,32,High
Hyderabad,431.0,No,Yes,4.3,893,252.0,Kerala,52,Low
Nashik,238.0,Yes,Yes,3.1,794,384.0,Fast Food,55,Low
Pune,329.0,No,No,4.4,519,55.0,Cafe,26,High
Nashik,204.0,Yes,Yes,3.6,486,544.0,Cafe,45,High
Jaipur,462.0,No,No,4.6,782,249.0,Continental,29,High
Pune,585.0,Yes,Yes,4.4,566,105.0,Kerala,26,High
Bhopal,81.0,Yes,No,3.3,122,586.0,Gujarati,49,Low
Chennai,399.0,No,No,4.5,853,381.0,Biryani,30,High
Chennai,166.0,Yes,Yes,3.4,680,513.0,Seafood,56,Low
Mumbai,352.0,Yes,Yes,4.7,646,60.0,Seafood,35,High
Indore,4928.0,No,No,2.6,247,67.0,Chinese,42,Low
Hyderabad,107.0,Yes,Yes,4.1,63,587.0,Fast Food,58,Low
Jaipur,200.0,Yes,Yes,2.7,720,41.0,Biryani,37,Low
Delhi,114.0,No,No,3.1,398,348.0,North Indian,23,Low
Mumbai,92.0,Yes,No,4.7,134,342.0,South Indian,42,Low
Delhi,545.0,No,Yes,4.6,708,570.0,Rajasthani,34,High
Nashik,398.0,No,Yes,4.4,661,119.0,Gujarati,22,High
Indore,321.0,No,No,4.5,864,329.0,South Indian,20,High
Bhopal,169.0,No,No,2.7,187,22.0,Cafe,52,Low
Pune,81.0,No,Yes,3.5,127,209.0,Kerala,136,Low
Goa,195.0,Yes,Yes,3.9,133,510.0,South Indian,56,High
Jaipur,153.0,Yes,Yes,,71,406.0,Kerala,53,Low
Goa,195.0,Yes,Yes,3.9,133,510.0,South Indian,56,High
Ahmedabad,251.0,Yes,Yes,4.4,442,484.0,South Indian,35,High
Bangalore,186.0,Yes,No,3.9,75,298.0,South Indian,54,Low
Surat,123.0,No,Yes,3.2,413,461.0,Continental,29,Low
Surat,434.0,No,Yes,5.0,841,162.0,Street Food,35,High
Indore,288.0,No,Yes,4.7,581,555.0,Street Food,26,High
Bhopal,262.0,No,Yes,4.5,654,170.0,Gujarati,27,High
Jaipur,135.0,Yes,No,,545,584.0,Kerala,37,Low
Ahmedabad,126.0,No,Yes,2.9,723,359.0,Seafood,47,Low
Jaipur,289.0,Yes,No,4.8,711,215.0,Gujarati,103,High
Surat,600.0,No,No,5.0,684,249.0,Continental,24,High
Surat,106.0,Yes,Yes,,587,101.0,Street Food,49,High
Bangalore,201.0,Yes,Yes,4.3,698,536.0,Kerala,44,High
Surat,107.0,Yes,No,3.1,101,498.0,Biryani,20,High
Hyderabad,148.0,No,Yes,3.1,641,535.0,Rajasthani,50,Low
Delhi,143.0,No,Yes,2.7,174,172.0,Rajasthani,35,Low
Bhopal,397.0,No,No,4.3,764,471.0,Kerala,34,High
Nagpur,562.0,No,Yes,4.5,500,437.0,Gujarati,21,High
Pune,370.0,Yes,Yes,4.9,453,191.0,North Indian,31,High
Bhopal,528.0,Yes,Yes,4.6,485,177.0,Street Food,32,High
Mumbai,146.0,No,No,2.6,772,312.0,North Indian,59,Low
Indore,113.0,Yes,Yes,3.4,4878,125.0,Chinese,35,Low
Kochi,153.0,No,Yes,2.7,514,193.0,South Indian,56,Low
Pune,173.0,Yes,No,4.8,121,467.0,Seafood,36,Low
Ahmedabad,180.0,No,Yes,2.6,853,566.0,North Indian,27,Low
Bhopal,528.0,Yes,Yes,4.6,485,177.0,Street Food,32,High
Surat,508.0,No,No,4.4,841,497.0,Biryani,32,High
Delhi,443.0,Yes,Yes,4.3,523,267.0,North Indian,21,High
Kochi,217.0,Yes,No,3.2,123,536.0,Continental,48,Low
Mumbai,112.0,Yes,Yes,3.5,355,549.0,South Indian,30,Low
Surat,569.0,Yes,Yes,4.6,821,80.0,Continental,21,High
Jaipur,138.0,No,Yes,2.8,96,137.0,Kerala,55,Low
Hyderabad,102.0,Yes,Yes,2.7,638,242.0,Continental,58,Low
Ahmedabad,166.0,Yes,Yes,3.1,741,199.0,Cafe,25,Low
Bhopal,6816.0,No,No,2.6,672,539.0,Fast Food,48,High
Jaipur,429.0,Yes,No,4.1,601,44.0,North Indian,23,High
Ahmedabad,251.0,Yes,Yes,4.4,442,484.0,South Indian,35,High
Goa,181.0,Yes,Yes,2.8,385,334.0,Cafe,48,Low
Delhi,453.0,Yes,Yes,4.9,549,525.0,Seafood,29,High
Jaipur,153.0,No,No,3.3,579,113.0,Fast Food,30,Low
Ahmedabad,486.0,No,Yes,4.8,636,597.0,South Indian,21,High
Ahmedabad,486.0,No,Yes,4.8,636,597.0,South Indian,21,High
Nagpur,359.0,Yes,Yes,4.3,705,141.0,South Indian,34,High
Nagpur,110.0,Yes,Yes,2.7,710,386.0,Kerala,50,High
Chennai,407.0,Yes,Yes,4.8,785,,Gujarati,30,High
Bangalore,106.0,No,No,3.1,134,386.0,Cafe,50,High
Jaipur,575.0,No,Yes,4.6,1776,295.0,Gujarati,20,High
Bhopal,114.0,No,No,3.4,363,507.0,Street Food,49,Low
Goa,454.0,No,No,4.5,781,581.0,Fast Food,105,High
Bhopal,222.0,Yes,No,3.3,62,207.0,Fast Food,32,Low
Nashik,191.0,Yes,Yes,3.2,169,254.0,Rajasthani,42,Low
Ahmedabad,197.0,Yes,No,3.9,383,405.0,Seafood,27,Low
Ahmedabad,541.0,No,No,4.7,644,211.0,Chinese,26,High
Delhi,564.0,Yes,No,4.5,891,314.0,Continental,31,High
Pune,136.0,No,Yes,3.3,620,111.0,Fast Food,21,Low
Surat,274.0,Yes,Yes,4.5,580,25.0,South Indian,23,High
Delhi,191.0,No,No,2.8,104,340.0,North Indian,151,Low
Bangalore,110.0,Yes,No,4.4,73,,Fast Food,26,Low
Hyderabad,101.0,Yes,No,2.7,667,437.0,Gujarati,29,Low
Delhi,241.0,Yes,Yes,3.3,357,518.0,Continental,54,Low
Delhi,545.0,No,Yes,4.6,708,570.0,Rajasthani,34,High
Surat,558.0,Yes,Yes,4.3,483,579.0,Street Food,34,High
Kochi,144.0,No,Yes,3.2,246,427.0,Seafood,20,High
Chennai,406.0,Yes,Yes,4.8,721,493.0,Chinese,31,High
Nashik,213.0,Yes,Yes,3.0,799,364.0,North Indian,30,Low
Bhopal,165.0,Yes,Yes,2.7,727,168.0,Seafood,44,Low
Nashik,345.0,No,No,4.5,4517,347.0,Cafe,49,High
Nagpur,486.0,Yes,Yes,4.6,740,278.0,Rajasthani,23,High
Nashik,195.0,No,No,2.7,347,,Seafood,44,Low
Jaipur,94.0,Yes,Yes,3.1,795,569.0,Gujarati,56,High
Bangalore,244.0,Yes,No,3.7,476,152.0,Kerala,45,Low
Nagpur,290.0,No,No,,810,367.0,South Indian,29,High
Kochi,297.0,Yes,No,4.9,653,265.0,Continental,30,High
Jaipur,133.0,No,Yes,2.8,741,301.0,Cafe,41,Low
Kochi,488.0,No,Yes,4.3,733,67.0,Chinese,23,High
Nagpur,380.0,Yes,Yes,4.7,543,577.0,Biryani,22,High
Kochi,228.0,Yes,No,3.3,113,448.0,Street Food,41,Low
Nagpur,163.0,No,No,3.5,180,86.0,Biryani,51,Low
Bangalore,135.0,No,Yes,3.4,620,468.0,Chinese,36,High
Ahmedabad,211.0,Yes,Yes,2.8,123,411.0,North Indian,41,Low
Delhi,435.0,Yes,No,4.4,401,397.0,Continental,35,High
Nagpur,181.0,Yes,Yes,2.7,733,531.0,Kerala,25,High
Kochi,162.0,Yes,Yes,3.3,587,425.0,Fast Food,32,Low
Mumbai,80.0,No,Yes,,189,558.0,Chinese,32,Low
Chennai,191.0,Yes,No,4.2,32,517.0,Biryani,38,Low
Hyderabad,422.0,No,No,4.7,561,376.0,Seafood,32,High
Chennai,230.0,No,Yes,3.2,516,139.0,Kerala,35,Low
Kochi,175.0,No,No,2.8,809,504.0,Seafood,48,Low
Goa,426.0,Yes,Yes,4.3,842,358.0,Rajasthani,34,High
Ahmedabad,174.0,No,Yes,3.1,811,510.0,Fast Food,42,Low
Nashik,328.0,Yes,No,4.8,470,377.0,North Indian,99,High
Bangalore,117.0,No,Yes,3.1,266,398.0,Cafe,27,Low
Hyderabad,153.0,Yes,No,3.4,277,196.0,South Indian,25,Low
Ahmedabad,,No,Yes,3.3,546,571.0,Street Food,21,Low
Jaipur,387.0,Yes,No,4.4,785,325.0,Gujarati,28,High
Bhopal,262.0,No,Yes,4.5,654,170.0,Gujarati,27,High
Delhi,157.0,No,Yes,3.1,779,346.0,Kerala,56,Low
Delhi,159.0,Yes,No,3.5,288,173.0,Kerala,41,Low
Chennai,399.0,No,No,4.5,853,381.0,Biryani,30,High
Bhopal,262.0,No,Yes,4.5,654,170.0,Gujarati,27,High
Bhopal,432.0,No,No,4.8,826,443.0,Cafe,33,High
Chennai,549.0,No,No,4.4,568,285.0,Chinese,28,High
Bhopal,451.0,No,No,4.6,744,399.0,Cafe,30,High
Chennai,,No,No,,776,564.0,Continental,60,Low
Bhopal,538.0,No,No,,798,416.0,Rajasthani,26,High
Bhopal,451.0,No,No,4.6,744,399.0,Cafe,30,High
Chennai,228.0,No,No,3.0,212,329.0,Kerala,41,Low
Surat,569.0,Yes,Yes,4.6,821,80.0,Continental,21,High
Hyderabad,163.0,Yes,No,2.6,432,522.0,South Indian,49,High
Bangalore,157.0,Yes,No,3.4,480,83.0,South Indian,43,High
Hyderabad,213.0,No,No,4.8,48,577.0,Kerala,31,Low
Goa,136.0,Yes,Yes,2.9,198,397.0,Fast Food,48,Low
Bangalore,596.0,Yes,Yes,4.6,439,381.0,Fast Food,36,Low
Ahmedabad,99.0,No,Yes,3.3,506,591.0,Seafood,30,Low
Bangalore,170.0,No,Yes,3.3,187,416.0,Cafe,58,Low
Nagpur,380.0,Yes,Yes,4.7,543,577.0,Biryani,22,High
Bhopal,242.0,No,Yes,3.2,657,469.0,South Indian,59,High
Nagpur,153.0,No,No,3.5,606,104.0,North Indian,48,Low
Surat,152.0,Yes,Yes,2.7,532,482.0,Kerala,26,High
Kochi,93.0,Yes,Yes,3.0,473,520.0,Rajasthani,34,Low
Nagpur,,No,Yes,3.6,689,262.0,Street Food,51,High
Surat,354.0,No,Yes,,569,244.0,Fast Food,25,High
Pune,465.0,Yes,No,5.0,857,,Fast Food,26,High
Delhi,104.0,Yes,No,3.5,570,309.0,Gujarati,38,Low
Delhi,189.0,No,Yes,3.0,122,599.0,Gujarati,49,Low
Chennai,154.0,Yes,No,2.7,531,572.0,Cafe,34,High
Bangalore,157.0,Yes,No,3.4,480,83.0,South Indian,43,High
Ahmedabad,486.0,No,Yes,4.8,636,597.0,South Indian,21,High
Nashik,416.0,No,Yes,4.7,679,584.0,Gujarati,33,High
Kochi,309.0,No,No,4.8,425,249.0,Gujarati,30,High
Bangalore,157.0,Yes,No,3.4,480,83.0,South Indian,43,High
Delhi,545.0,No,No,4.4,506,85.0,Biryani,32,High
Hyderabad,107.0,Yes,No,5.0,117,248.0,Seafood,27,Low
Hyderabad,84.0,Yes,Yes,2.9,439,180.0,Seafood,59,Low
Bangalore,239.0,No,No,2.6,747,247.0,South Indian,40,Low
Nagpur,152.0,Yes,Yes,4.9,154,402.0,Biryani,59,High
Ahmedabad,170.0,Yes,No,2.7,200,128.0,Gujarati,24,High
Chennai,414.0,No,No,4.6,731,120.0,North Indian,34,High
Goa,292.0,Yes,No,4.9,648,280.0,Chinese,21,High
Indore,363.0,No,Yes,4.9,644,295.0,Chinese,23,High
Indore,475.0,Yes,Yes,4.7,597,266.0,Kerala,26,High
Nashik,194.0,Yes,Yes,2.9,370,246.0,Gujarati,41,Low
Delhi,109.0,Yes,No,4.2,132,71.0,Chinese,50,Low
Kochi,488.0,No,Yes,4.3,733,67.0,Chinese,23,High
Delhi,422.0,No,Yes,4.2,810,73.0,Cafe,31,High
Bhopal,223.0,Yes,No,3.3,563,426.0,Rajasthani,57,Low
Kochi,259.0,Yes,No,4.3,811,441.0,Cafe,28,High
Nagpur,429.0,Yes,Yes,4.9,585,402.0,South Indian,112,High
Surat,121.0,Yes,Yes,3.9,2188,431.0,Kerala,58,Low
Hyderabad,109.0,Yes,Yes,2.8,675,198.0,North Indian,29,Low
Delhi,240.0,Yes,No,3.2,245,446.0,Gujarati,59,Low
Nashik,127.0,Yes,Yes,4.9,42,281.0,South Indian,50,Low
Jaipur,200.0,No,Yes,3.6,43,178.0,Gujarati,52,Low
Goa,110.0,No,Yes,3.9,122,408.0,Gujarati,56,Low
Ahmedabad,193.0,No,No,3.2,201,217.0,Kerala,43,Low
Mumbai,294.0,Yes,Yes,4.9,230,344.0,Rajasthani,27,High
Pune,518.0,Yes,Yes,4.9,513,118.0,Gujarati,25,High
Bangalore,130.0,No,No,2.6,281,297.0,Seafood,35,Low
Chennai,234.0,No,Yes,3.0,37,85.0,North Indian,50,Low
Ahmedabad,502.0,Yes,Yes,4.6,520,256.0,Seafood,33,High
Chennai,477.0,Yes,No,4.9,493,249.0,South Indian,31,High
Surat,117.0,Yes,Yes,2.9,452,202.0,Gujarati,45,Low
Surat,196.0,No,No,2.9,548,316.0,Seafood,50,Low
Indore,82.0,No,No,3.5,727,586.0,Kerala,39,Low
Nashik,398.0,No,Yes,4.4,661,119.0,Gujarati,22,High
Mumbai,111.0,No,No,2.8,617,505.0,North Indian,39,Low
Bhopal,87.0,No,Yes,3.1,762,160.0,North Indian,35,Low
Ahmedabad,599.0,Yes,Yes,,432,393.0,Seafood,27,High
Bhopal,247.0,Yes,No,3.5,689,585.0,Seafood,57,High
Bangalore,96.0,No,No,2.9,760,475.0,South Indian,25,Low
Surat,,No,Yes,3.4,274,112.0,Rajasthani,21,Low
Mumbai,467.0,Yes,No,4.0,292,155.0,Fast Food,44,High
Ahmedabad,170.0,Yes,No,2.7,200,128.0,Gujarati,24,High
Ahmedabad,541.0,No,No,4.7,644,211.0,Chinese,26,High
Bhopal,215.0,Yes,No,2.7,227,362.0,Street Food,21,Low
Goa,353.0,No,No,4.4,794,150.0,Street Food,27,High
Delhi,577.0,No,Yes,4.4,769,527.0,Continental,32,High
Jaipur,238.0,Yes,No,3.4,408,42.0,Seafood,54,Low
Pune,353.0,Yes,Yes,4.7,424,74.0,Chinese,23,High
Surat,,Yes,Yes,,2635,535.0,South Indian,53,Low
Indore,122.0,No,Yes,2.7,805,576.0,Cafe,57,Low
Pune,370.0,Yes,Yes,4.9,453,191.0,North Indian,31,High
Indore,140.0,No,Yes,3.0,3498,596.0,South Indian,25,High
Chennai,399.0,No,No,4.5,853,381.0,Biryani,30,High
Delhi,486.0,No,Yes,4.3,514,90.0,Cafe,32,High
Nashik,2697.0,Yes,No,3.2,453,37.0,Continental,41,Low
Hyderabad,103.0,Yes,No,2.9,562,472.0,Rajasthani,27,Low
Pune,125.0,Yes,No,2.5,837,547.0,Fast Food,41,Low
Kochi,144.0,No,Yes,3.2,246,427.0,Seafood,20,High
Goa,535.0,Yes,Yes,4.5,649,473.0,Gujarati,20,High
Kochi,87.0,No,No,4.1,112,349.0,Kerala,49,High
Bangalore,210.0,No,No,2.6,376,186.0,Chinese,50,Low
Hyderabad,512.0,No,Yes,4.4,456,265.0,Street Food,35,High
Surat,558.0,Yes,Yes,4.3,483,579.0,Street Food,34,High
Surat,344.0,No,Yes,,695,378.0,North Indian,47,High
Indore,198.0,Yes,Yes,3.1,53,591.0,South Indian,59,Low
Nagpur,,No,Yes,3.6,689,262.0,Street Food,51,High
Jaipur,124.0,Yes,Yes,2.7,687,105.0,Street Food,31,Low
Indore,109.0,No,Yes,3.5,416,148.0,North Indian,47,Low
Delhi,149.0,No,No,2.8,232,353.0,Rajasthani,34,Low
Pune,202.0,Yes,Yes,,367,338.0,Biryani,24,Low
Indore,356.0,No,Yes,4.5,814,100.0,Kerala,27,High
Kochi,232.0,No,No,4.5,129,281.0,Seafood,31,High
Mumbai,502.0,Yes,No,3.9,167,306.0,Cafe,35,High
Goa,221.0,Yes,No,2.5,819,153.0,Fast Food,60,Low
Nagpur,113.0,Yes,Yes,,222,188.0,Street Food,45,Low
Ahmedabad,187.0,No,Yes,2.5,40,244.0,Street Food,58,Low
Surat,99.0,Yes,No,2.8,873,430.0,North Indian,43,High
Goa,132.0,No,No,3.5,403,503.0,Kerala,31,Low
Nashik,338.0,No,No,4.3,709,435.0,Continental,30,High
Bangalore,112.0,Yes,Yes,3.8,147,547.0,South Indian,51,Low
Nashik,,Yes,Yes,2.8,679,139.0,North Indian,25,Low
Surat,140.0,No,Yes,3.2,74,116.0,Kerala,47,Low
Pune,253.0,No,No,4.7,673,390.0,Gujarati,29,High
Chennai,154.0,Yes,No,2.7,531,572.0,Cafe,34,High
Ahmedabad,300.0,Yes,Yes,4.4,522,,Biryani,34,High
Bangalore,284.0,Yes,Yes,4.4,896,564.0,Kerala,20,High
Mumbai,579.0,Yes,No,3.6,308,295.0,South Indian,26,High
Goa,153.0,Yes,Yes,2.9,569,41.0,Kerala,29,Low
Ahmedabad,,Yes,No,4.1,521,328.0,Seafood,25,Low
Bhopal,194.0,Yes,Yes,3.0,99,401.0,Continental,26,Low
Bhopal,145.0,Yes,Yes,5.0,607,325.0,Seafood,53,High
Nagpur,233.0,No,Yes,2.6,495,182.0,North Indian,29,Low
Indore,,No,Yes,2.9,133,192.0,Rajasthani,42,Low
Nashik,226.0,Yes,Yes,2.7,124,591.0,Rajasthani,27,Low
Kochi,132.0,No,No,3.2,578,453.0,Seafood,56,Low
Delhi,224.0,Yes,Yes,3.2,736,228.0,Rajasthani,37,Low
Indore,288.0,No,Yes,4.7,581,555.0,Street Food,26,High
Goa,426.0,Yes,Yes,4.3,842,358.0,Rajasthani,34,High
Hyderabad,163.0,Yes,No,2.6,432,522.0,South Indian,49,High
Hyderabad,191.0,No,Yes,3.5,132,383.0,Rajasthani,43,Low
Delhi,545.0,No,Yes,4.6,708,570.0,Rajasthani,34,High
Delhi,89.0,Yes,No,2.6,792,504.0,Seafood,44,Low
Kochi,600.0,Yes,Yes,4.4,604,249.0,Seafood,25,High
Ahmedabad,106.0,Yes,No,3.2,85,586.0,South Indian,38,Low
